,reward
0,-3.0
1,-4.0
2,-4.0
3,-5.0
4,-5.0
5,-5.0
6,-4.0
7,-3.0
8,-3.0
9,-3.0
10,-3.0
11,-5.0
12,-4.0
13,-4.0
14,-3.0
15,-1.0
16,-2.0
17,0.0
18,-2.0
19,-4.0
20,-4.0
21,-3.0
22,1.0
23,-5.0
24,-2.0
25,-4.0
26,0.0
27,-5.0
28,-5.0
29,-2.0
30,-3.0
31,-4.0
32,-4.0
33,-3.0
34,-4.0
35,-3.0
36,-4.0
37,-4.0
38,-3.0
39,-4.0
40,-2.0
41,-5.0
42,-3.0
43,-4.0
44,-4.0
45,-3.0
46,-3.0
47,-1.0
48,0.0
49,-2.0
50,-3.0
51,-2.0
52,0.0
53,-2.0
54,-2.0
55,0.0
56,0.0
57,-2.0
58,-3.0
59,1.0
60,-3.0
61,-2.0
62,0.0
63,3.0
64,-1.0
65,-3.0
66,-1.0
67,3.0
68,1.0
69,0.0
70,-1.0
71,2.0
72,-1.0
73,2.0
74,0.0
75,-3.0
76,0.0
77,4.0
78,-2.0
79,7.0
80,7.0
81,1.0
82,-2.0
83,-2.0
84,2.0
85,-1.0
86,-1.0
87,2.0
88,-1.0
89,0.0
90,0.0
91,0.0
92,-2.0
93,2.0
94,2.0
95,-1.0
96,1.0
97,-3.0
98,-1.0
99,4.0
100,2.0
101,7.0
102,5.0
103,0.0
104,2.0
105,3.0
106,2.0
107,1.0
108,4.0
109,3.0
110,9.0
111,1.0
112,3.0
113,-2.0
114,1.0
115,6.0
116,1.0
117,-1.0
118,-1.0
119,-2.0
120,2.0
121,0.0
122,0.0
123,-2.0
124,4.0
125,8.0
126,3.0
127,2.0
128,4.0
129,2.0
130,4.0
131,-1.0
132,2.0
133,3.0
134,8.0
135,3.0
136,2.0
137,3.0
138,1.0
139,7.0
140,7.0
141,-1.0
142,-3.0
143,-1.0
144,11.0
145,-2.0
146,2.0
147,-1.0
148,2.0
149,2.0
150,0.0
151,4.0
152,3.0
153,5.0
154,-1.0
155,3.0
156,2.0
157,-1.0
158,5.0
159,-1.0
160,0.0
161,7.0
162,2.0
163,2.0
164,8.0
165,3.0
166,-3.0
167,7.0
168,1.0
169,7.0
170,2.0
171,1.0
172,3.0
173,2.0
174,-2.0
175,-1.0
176,0.0
177,4.0
178,2.0
179,2.0
180,-2.0
181,0.0
182,0.0
183,0.0
184,7.0
185,2.0
186,2.0
187,3.0
188,-1.0
189,-1.0
190,2.0
191,6.0
192,1.0
193,0.0
194,0.0
195,6.0
196,3.0
197,4.0
198,-1.0
199,2.0
200,6.0
201,6.0
202,-1.0
203,4.0
204,4.0
205,2.0
206,3.0
207,2.0
208,10.0
209,2.0
210,-1.0
211,7.0
212,-1.0
213,4.0
214,-3.0
215,0.0
216,3.0
217,3.0
218,3.0
219,3.0
220,1.0
221,4.0
222,3.0
223,-3.0
224,-2.0
225,7.0
226,8.0
227,7.0
228,4.0
229,1.0
230,6.0
231,-1.0
232,8.0
233,-1.0
234,8.0
235,3.0
236,-1.0
237,1.0
238,7.0
239,5.0
240,4.0
241,7.0
242,-2.0
243,1.0
244,0.0
245,5.0
246,6.0
247,4.0
248,2.0
249,7.0
250,6.0
251,0.0
252,3.0
253,4.0
254,1.0
255,-2.0
