,steps
0,193
1,165
2,167
3,118
4,119
5,117
6,145
7,193
8,176
9,193
10,192
11,117
12,167
13,165
14,177
15,270
16,222
17,347
18,263
19,164
20,165
21,193
22,361
23,118
24,225
25,145
26,341
27,117
28,117
29,243
30,193
31,163
32,165
33,195
34,146
35,193
36,167
37,164
38,194
39,147
40,222
41,117
42,194
43,164
44,166
45,193
46,192
47,269
48,299
49,220
50,176
51,222
52,297
53,226
54,220
55,305
56,299
57,207
58,177
59,331
60,194
61,243
62,283
63,286
64,274
65,176
66,252
67,271
68,349
69,306
70,236
71,239
72,257
73,240
74,284
75,173
76,287
77,335
78,219
79,292
80,468
81,365
82,207
83,207
84,240
85,237
86,257
87,240
88,237
89,325
90,269
91,308
92,206
93,240
94,369
95,258
96,342
97,175
98,253
99,319
100,378
101,310
102,339
103,304
104,362
105,416
106,380
107,336
108,324
109,272
110,391
111,369
112,271
113,207
114,336
115,417
116,329
117,240
118,291
119,207
120,240
121,287
122,284
123,228
124,338
125,341
126,270
127,369
128,317
129,239
130,444
131,236
132,239
133,269
134,483
135,272
136,367
137,271
138,315
139,292
140,292
141,256
142,193
143,256
144,318
145,224
146,240
147,257
148,239
149,239
150,301
151,321
152,414
153,358
154,270
155,289
156,369
157,237
158,457
159,237
160,285
161,310
162,239
163,240
164,357
165,270
166,175
167,437
168,306
169,435
170,239
171,318
172,286
173,239
174,207
175,236
176,287
177,424
178,239
179,239
180,207
181,298
182,285
183,286
184,292
185,377
186,240
187,270
188,257
189,237
190,239
191,384
192,313
193,284
194,306
195,385
196,385
197,315
198,257
199,240
200,379
201,363
202,258
203,315
204,317
205,240
206,385
207,240
208,405
209,240
210,238
211,291
212,259
213,307
214,175
215,291
216,271
217,271
218,286
219,286
220,331
221,315
222,286
223,192
224,237
225,435
226,324
227,450
228,453
229,316
230,384
231,237
232,341
233,255
234,360
235,402
236,241
237,315
238,310
239,369
240,426
241,310
242,207
243,331
244,287
245,516
246,403
247,443
248,239
249,429
250,384
251,302
252,422
253,301
254,345
255,207
