,loss
0,9.484977e-05
1,0.20347196
2,0.012913918
3,0.0055722846
4,0.0026186462
5,0.0006631648
6,0.0036637578
7,0.00045955478
8,0.0012596515
9,0.00018990465
10,0.00082953303
11,7.0810165e-05
12,1.5359863e-05
13,0.0007794568
14,2.1942078e-05
15,1.0228734e-05
16,9.0953745e-06
17,0.00052860467
18,9.833132e-05
19,3.9584986e-05
20,5.247252e-05
21,3.5768967e-06
22,0.24736601
23,0.0037439144
24,0.002218817
25,0.0003773992
26,0.00039145217
27,0.002056988
28,0.0030435922
29,0.00093926076
30,0.0012531788
31,0.0002191625
32,0.0019373642
33,0.00081716396
34,0.2273289
35,0.00016979098
36,0.0010506773
37,9.196093e-05
38,0.0039193244
39,0.0027225206
40,0.00012990527
41,0.00015835367
42,0.20127445
43,0.008748545
44,0.0008931176
45,0.00022240853
46,3.464452e-05
47,0.0051367464
48,4.0526495e-05
49,5.197392e-05
50,0.0036554027
51,5.0948092e-05
52,0.0002404811
53,6.0634916e-06
54,2.488785e-06
55,0.0030152244
56,0.0023418756
57,0.0004962707
58,5.032835e-05
59,3.6440924e-06
60,1.1624804e-07
61,3.899906e-06
62,0.0018361639
63,7.557379e-05
64,0.0018015447
65,0.0009144839
66,1.26862105e-05
67,0.22309591
68,6.855475e-06
69,1.0865582e-06
70,5.845655e-06
71,0.0007953741
72,0.007535205
73,0.00012154927
74,0.002501006
75,0.0020678889
76,0.23465267
77,0.0073043355
78,0.0010734829
79,0.1876949
80,0.017988916
81,0.00042754563
82,0.00035393858
83,0.00040124485
84,0.0066832285
85,0.18153659
86,0.00055389234
87,0.00018517088
88,0.0003959009
89,0.00028825045
90,0.00032998502
91,0.009381941
92,9.1496186e-05
93,0.00011185471
94,0.00020582415
95,1.4866362e-05
96,3.881963e-06
97,5.1093084e-05
98,0.008089565
99,1.5567924e-05
100,0.007403393
101,9.4849054e-07
102,1.2399121e-05
103,0.0063109715
104,0.24803396
105,0.00050886406
106,0.00056200736
107,0.00043922116
108,0.00034056118
109,0.0064624813
110,0.00605033
111,0.00016992267
112,0.00039765603
113,0.005348369
114,0.004910581
115,0.004374323
116,0.00018114924
117,3.711714e-05
118,3.6722333e-05
119,0.00016763655
120,0.0035495558
121,0.0030453661
122,0.0051853796
123,2.963835e-06
124,0.0002736669
125,2.5067318e-05
126,0.0017303736
127,0.001614172
128,4.6829227e-05
129,4.898201e-05
130,0.0022379672
131,7.85578e-06
132,7.4603895e-06
133,0.00059233897
134,0.0003596233
135,0.00028893104
136,0.0002042588
137,0.0009270317
138,0.00020290738
139,5.5371813e-05
140,6.168187e-05
141,0.00048844295
142,0.0001756247
143,0.00011807744
144,3.0476536e-05
145,4.403315e-05
146,3.2856842e-05
147,0.00015819585
148,2.7258842e-05
149,1.0947067e-06
150,5.6798686e-05
151,3.908098e-07
152,6.19812e-06
153,6.312487e-05
154,1.302585e-05
155,1.6942702e-05
156,1.8046467e-05
157,5.5970166e-05
158,3.0854622e-05
159,3.4532386e-05
160,1.3829252e-05
161,2.6939604e-05
162,4.518999e-06
163,4.1135462e-07
164,1.887823e-05
165,6.7179553e-06
166,7.338807e-06
167,4.3659397e-06
168,7.728163e-06
169,5.6689438e-05
170,5.9616764e-06
171,9.055859e-07
172,0.24905434
173,0.004127551
174,9.179495e-06
175,0.0036154604
176,8.383638e-06
177,7.10875e-05
178,0.0031653265
179,0.0026240854
180,3.4953996e-06
181,4.6846827e-07
182,8.203656e-07
183,8.236444e-06
184,1.012909e-05
185,0.20511794
186,7.817186e-05
187,7.3649876e-06
188,7.763441e-06
189,0.18562976
190,1.9590612e-05
191,8.802101e-05
192,0.0062252185
193,0.010543259
194,6.5093864e-06
195,0.0041774814
196,3.3096414e-05
197,0.0031797802
198,3.1314346e-05
199,0.20235842
200,0.0063759573
201,1.8891611e-05
202,5.5271867e-05
203,7.136334e-05
204,5.1330426e-05
205,0.0056736786
206,0.00527565
207,0.009750407
208,1.973059e-05
209,2.6629608e-05
210,0.0037723149
211,8.77695e-07
212,0.0028789197
213,0.24793562
214,0.0006474662
215,0.00089212996
216,0.00026595572
217,0.0022981337
218,0.00017200765
219,0.0012273296
220,0.00061412074
221,6.8321926e-05
222,0.2314813
223,0.00014103422
224,0.0043394435
225,4.440642e-05
226,7.6823315e-05
227,6.021539e-05
228,0.0038464111
229,3.8084192e-05
230,0.0036473882
231,0.0034102981
232,9.04297e-05
233,6.707604e-05
234,0.0031461206
235,1.475051e-05
236,7.100838e-06
237,2.8726538e-07
238,7.26318e-05
239,1.5250598e-05
240,3.605459e-05
241,6.353276e-05
242,4.7387013e-05
243,4.314745e-05
244,2.8428867e-06
245,0.002527629
246,1.0496001e-08
247,6.732749e-05
248,0.20357211
249,0.004168085
250,6.8904883e-06
251,1.28109e-05
252,5.935256e-06
253,0.18699732
254,9.002554e-06
255,1.7505813e-06
256,0.0053879223
257,6.581562e-06
258,2.283779e-06
259,0.24999872
260,0.0053447685
261,3.3178567e-05
262,9.648492e-06
263,0.0042122933
264,0.00010123847
265,1.2279668e-07
266,4.7479905e-05
267,3.5688918e-06
268,2.2960414e-06
269,0.0044221985
270,4.2081676e-05
271,0.006790683
272,1.228949e-05
273,1.0987385e-05
274,0.19606803
275,2.4263609e-06
276,0.0051817503
277,2.9033039e-05
278,0.0047317124
279,5.7536124e-07
280,1.4471677e-05
281,1.370952e-06
282,4.19902e-07
283,8.181552e-08
284,2.4321378e-05
285,2.6274209e-05
286,0.0040269746
287,1.5808238e-05
288,0.0039805984
289,0.003921069
290,1.884538e-05
291,3.6183642e-06
292,9.1000165e-06
293,0.0034706728
294,1.4164729e-05
295,1.2020594e-05
296,1.4339159e-05
297,0.0031664218
298,8.3673185e-06
299,1.5462232e-08
300,9.337945e-06
301,0.006253062
302,0.002291202
303,1.6006261e-05
304,1.689691e-05
305,2.7496055e-05
306,0.0023209904
307,0.0018955319
308,2.8131775e-05
309,3.5227295e-05
310,3.1106938e-05
311,4.982202e-05
312,9.7877755e-06
313,1.322707e-05
314,1.11585e-06
315,0.0014188644
316,8.570949e-05
317,0.0010732964
318,0.00076129136
319,9.56742e-05
320,2.1464843e-05
321,2.2087854e-05
322,0.0005380155
323,0.23506224
324,4.3934324e-06
325,2.2372089e-05
326,0.0034651503
327,1.3753603e-06
328,0.0034407265
329,4.382789e-06
330,0.0031372108
331,0.2489366
332,0.24721695
333,8.250787e-05
334,6.185113e-07
335,4.9451577e-05
336,3.5606492e-05
337,3.399336e-05
338,9.0505026e-05
339,8.0074204e-07
340,2.7937542e-05
341,0.0027638439
342,0.0025212178
343,7.6469776e-05
344,2.1963979e-05
345,0.001637894
346,0.0022309143
347,0.25637695
348,1.3675153e-05
349,3.1692216e-05
350,0.0021158587
351,2.4545381e-05
352,1.3106519e-05
353,2.7356184e-05
354,2.3329543e-05
355,8.463218e-06
356,2.9387543e-06
357,0.0010521008
358,0.0013769508
359,3.670329e-05
360,0.0011917772
361,0.00088231004
362,5.2299736e-05
363,0.0010399292
364,0.0005389181
365,6.4983215e-05
366,0.23592801
367,0.005827817
368,0.0031831977
369,1.546308e-05
370,2.3475528e-05
371,0.001842568
372,0.0053009274
373,1.0281144e-05
374,1.3157263e-05
375,0.0023081447
376,0.0014747432
377,0.0013965803
378,1.7211454e-05
379,0.00088374154
380,0.0014737168
381,0.0008002075
382,1.20393515e-05
383,4.417232e-06
384,9.281414e-06
385,1.8230696e-06
386,1.2759666e-06
387,1.6048618e-06
388,0.00065462495
389,1.893558e-06
390,0.00053397287
391,0.22977367
392,1.6481386e-05
393,1.0213524e-05
394,3.3187538e-05
395,0.0022931942
396,2.836926e-05
397,4.650246e-06
398,0.0027708993
399,1.4135471e-06
400,1.8807859e-06
401,9.408327e-06
402,0.0026661723
403,0.0026645272
404,0.24981132
405,0.0017510401
406,0.20015137
407,7.897317e-05
408,0.006053198
409,1.266667e-05
410,0.0034965237
411,5.7985642e-05
412,0.0058921063
413,5.6246834e-05
414,0.0033818332
415,0.0028446831
416,6.278612e-05
417,0.20057152
418,0.0037561378
419,0.19506715
420,6.592427e-05
421,0.0037509645
422,0.0036900393
423,6.736774e-05
424,7.4091935e-05
425,0.0038573772
426,8.349185e-05
427,3.6982485e-06
428,1.3735751e-05
429,2.3745535e-05
430,0.19214636
431,2.8008214e-06
432,0.0041139647
433,0.0036538134
434,7.889526e-06
435,7.327891e-05
436,6.691409e-06
437,3.1237236e-05
438,0.0038111727
439,2.888749e-05
440,0.0026008075
441,0.003521276
442,0.0015461246
443,0.25149807
444,0.00012677607
445,4.1906278e-05
446,0.0005706585
447,5.345952e-05
448,0.00023733929
449,7.237742e-05
450,0.0016183631
451,0.0028061783
452,0.00013265882
453,1.1264706e-06
454,1.5143457e-05
455,7.251969e-05
456,4.1372172e-05
457,9.10957e-05
458,4.6957877e-05
459,7.6180055e-05
460,8.610337e-06
461,0.0011274229
462,0.0011357768
463,0.20730142
464,2.2735216e-05
465,3.4604087e-05
466,0.2439338
467,0.0010719296
468,0.0002821713
469,0.00013287964
470,3.1823183e-06
471,3.403745e-05
472,0.00011923474
473,5.5067534e-07
474,0.002891935
475,5.572733e-05
476,5.0211875e-06
477,1.9623467e-06
478,7.629389e-05
479,8.426909e-05
480,0.0016446791
481,7.521281e-06
482,3.62055e-05
483,1.5951771e-05
484,2.194843e-05
485,1.1388278e-05
486,6.7268496e-07
487,0.00078963564
488,1.5920401e-05
489,1.1678678e-06
490,0.29746607
491,0.0012107571
492,9.32826e-05
493,4.0881416e-05
494,0.00014457089
495,6.11353e-05
496,0.24964812
497,0.00013745562
498,0.0018882245
499,0.0021977592
500,0.00032406297
501,0.00044575954
502,0.00021615431
503,0.00010563219
504,6.459067e-05
505,0.0015749871
506,0.00010501605
507,0.50955033
508,0.00023069288
509,0.00090809027
510,0.003281196
511,0.24403682
512,8.4597894e-05
513,0.0014347598
514,0.23388113
515,0.0005912689
516,4.12067e-05
517,0.20443363
518,0.0034415633
519,0.0006300205
520,0.0003354847
521,0.000109603934
522,0.0005551302
523,0.0041105077
524,0.003913741
525,0.00019701364
526,0.00027965315
527,0.0001630797
528,0.23922957
529,0.00086167804
530,4.5738652e-05
531,0.00045014944
532,2.1818632e-05
533,0.003951996
534,0.0017648833
535,0.0002550113
536,0.0024841363
537,0.00024464936
538,0.23510091
539,0.0017939496
540,0.0004541554
541,0.0007511444
542,0.00029514456
543,4.1193758e-05
544,0.0006098215
545,0.0025153426
546,7.855262e-05
547,0.0008201166
548,0.001191873
549,1.3346887e-05
550,0.00044112583
551,4.055368e-06
552,1.3162777e-05
553,5.1628464e-05
554,0.0003474759
555,3.697811e-05
556,0.0003720315
557,1.1649759e-06
558,0.00051134423
559,0.00020308471
560,3.4146417e-06
561,2.442388e-05
562,8.202448e-05
563,3.9171624e-05
564,6.3796375e-05
565,9.3579627e-07
566,0.25816727
567,0.0012782741
568,0.26150686
569,0.0020449175
570,0.0012178401
571,0.00018516302
572,3.849589e-05
573,2.6529899e-05
574,0.0033739079
575,1.0711798e-05
576,0.00029827582
577,1.3191335e-05
578,4.8531647e-06
579,0.0003194264
580,8.6325304e-07
581,9.54905e-06
582,0.0009722511
583,3.205028e-06
584,3.945151e-05
585,0.25287858
586,1.2010041e-06
587,1.6830552e-05
588,5.7853103e-05
589,5.759684e-05
590,0.0010279578
591,0.1997423
592,0.0012570397
593,3.267963e-05
594,2.012447e-05
595,0.0008114646
596,2.3696897e-05
597,3.1601244e-06
598,3.348711e-05
599,1.8624634e-06
600,0.0019644247
601,3.4179775e-05
602,1.7248738e-05
603,3.3273936e-05
604,4.2215834e-06
605,3.4298144e-05
606,1.7714261e-05
607,5.892889e-05
608,3.57429e-05
609,0.0006743084
610,6.064901e-06
611,1.814081e-05
